commanded position, signed delta, theoretical position, actual position, error
0.31618, -7.68, 0.32,0.1676,-0.14858
2.27892, 1.96, 2.28,2.28,0.00108
-4.15454, -6.43, -4.15,-3.9976,-0.15694
6.19653, -10.35, 6.2,6.0476,-0.14893
-5.17629, -11.38, -5.18,-5.0276,-0.14869
2.71362, -7.89, 2.71,2.5576,-0.15602
2.75787, 0.05, 2.76,2.76,0.00213
4.74143, 1.98, 4.74,4.74,-0.00143
-6.08911, -10.83, -6.09,-5.9376,-0.15151
-8.40731, 2.32, -8.41,-8.41,0.00269
-8.7408, 0.33, -8.74,-8.74,-0.0008
4.18951, -12.93, 4.19,4.0376,-0.15191
